id,prefecture_area,course_name,latitude,longitude,length_en,length_ja,elevation_gain_m,route_variant_of,distance_method,hilliness_en,hilliness_ja,children_en,children_ja,children_rating,older_adults_en,older_adults_ja,older_adults_rating,suitability_confidence,suitability_note_en,suitability_note_ja,suitability_signals_en,suitability_signals_ja,route_polyline_available,map_pdf_url,description_short
"iwate_iwate_iwate_iwate_park","岩手県 岩手町","岩手町総合運動公園コース","39.972","141.212","2.16 km","2.16km","49","","known_length_from_source_text","Rolling","起伏あり","Good fit","向いている","good","Usually OK","概ね可","ok","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (2.16 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Result: children = Good fit; older adults = Usually OK.","公表距離: 中程度（2.16km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 判定: 子ども = 向いている、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-iwate/iwate_iwate_park.pdf","競技スポーツの場で誰もが取り組める心身の健康づくりを"
"iwate_iwate_iwate_iwate_ishigami","岩手県 岩手町","石神の丘アートコース","39.973","141.218","3.05 km","3.05km","80","","known_length_from_source_text","Rolling","起伏あり","Good fit","向いている","good","Usually OK","概ね可","ok","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (3.05 km). | Urban/access signal: likely easier to reach and easier to exit early. | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Result: children = Good fit; older adults = Usually OK.","公表距離: 中程度（3.05km）。 | 都市・アクセス面の信号: 行きやすく、途中離脱もしやすい可能性があります。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 判定: 子ども = 向いている、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-iwate/iwate_iwate_ishigami.pdf","自然とアートの美を健康づくりに活用"
"iwate_iwate_iwate_iwate_ishigami_museum","岩手県 岩手町","石神の丘アートコース 美術館スタート","39.973","141.218","1.62 km","1.62km","41","iwate_iwate_iwate_iwate_ishigami","known_length_from_source_text","Rolling","起伏あり","Good fit","向いている","good","Usually OK","概ね可","ok","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (1.62 km). | Urban/access signal: likely easier to reach and easier to exit early. | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Result: children = Good fit; older adults = Usually OK.","公表距離: 中程度（1.62km）。 | 都市・アクセス面の信号: 行きやすく、途中離脱もしやすい可能性があります。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 判定: 子ども = 向いている、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-iwate/iwate_iwate_ishigami.pdf","自然とアートの美を健康づくりに活用"
"akita_akita01_long","秋田県 三種町","森岳温泉石倉山コース ロングコース","40.1042","140.0628","2.4 km","2.4km","124","akita_akita01","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (2.4 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.4km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/akita/akita01.pdf","石倉山公園を長めに歩くロングコース"
"akita_akita01_mountain","秋田県 三種町","森岳温泉石倉山コース 山コース","40.1032","140.0654","2.2 km","2.2km","116","akita_akita01","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (2.2 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.2km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/akita/akita01.pdf","石倉山公園の山側を活用するコース"
"akita_akita01_marsh","秋田県 三種町","森岳温泉石倉山コース 沼コース","40.1018","140.0637","2.1 km","2.1km","71","akita_akita01","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (2.1 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.1km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/akita/akita01.pdf","石倉山公園の沼まわりを歩く短めのコース"
"akita_akita03","秋田県 三種町","琴丘クアの古道コース","40.045","140.083","3.1 km","3.1km","106","","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Includes slopes, viewpoints, or old paths, so pace and rests should be planned.","坂・展望地・古道などを含むため、ペースと休憩計画が必要です。","Published distance: moderate (3.1 km). | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（3.1km）。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/akita/akita03.pdf","梅の香りただよう地元ガイドに愛されるコース"
"akita_akita02_windmill","秋田県 三種町","釜谷浜サンセットコース 風車コース","40.102","140.006","3.1 km","3.1km","44","akita_akita02","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (3.1 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Surface/nature signal: coastal, sandy, bridge, cave, stream, or forest-bathing terrain may need extra caution. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（3.1km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 路面・自然環境の信号: 海岸・砂浜・吊り橋・洞窟・渓流・森林などは注意が必要です。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/akita/akita02.pdf","風車がズラリと並ぶ砂浜を歩く、海の気候を生かしたコース"
"akita_akita02_pine","秋田県 三種町","釜谷浜サンセットコース 松林コース","40.102","140.006","3.2 km","3.2km","60","akita_akita02","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (3.2 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Surface/nature signal: coastal, sandy, bridge, cave, stream, or forest-bathing terrain may need extra caution. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（3.2km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 路面・自然環境の信号: 海岸・砂浜・吊り橋・洞窟・渓流・森林などは注意が必要です。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/akita/akita02.pdf","風車がズラリと並ぶ砂浜を歩く、海の気候を生かしたコース"
"yamagata02_kaminoyama_nishiyama","山形県 上山市","西山コース","38.153","140.278","3.1 km","3.1km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (3.1 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（3.1km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_kokuzo_kitazeki","山形県 上山市","虚空蔵山コース 北堰コース","38.153","140.278","3.7 km","3.7km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: longer (3.7 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: やや長め（3.7km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_kokuzo_summit","山形県 上山市","虚空蔵山コース 山頂コース","38.153","140.278","5.1 km","5.1km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: long (5.1 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 長め（5.1km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_hayama","山形県 上山市","葉山コース","38.153","140.278","2.6 km","2.6km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (2.6 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.6km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_sankichi_summit","山形県 上山市","三吉山コース 山頂コース","38.153","140.278","2.7 km","2.7km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (2.7 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.7km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_sankichi_middle","山形県 上山市","三吉山コース 中腹コース","38.153","140.278","1.8 km","1.8km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (1.8 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（1.8km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_zao_bodaira","山形県 上山市","蔵王高原坊平コース","38.153","140.278","3.6 km","3.6km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: longer (3.6 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: やや長め（3.6km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_zao_tairagura","山形県 上山市","蔵王高原坊平たいらぐらコース","38.153","140.278","2.62 km","2.62km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (2.62 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.62km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata02_kaminoyama_oshimizu_juhyo","山形県 上山市","お清水・樹氷原コース","38.153","140.278","3.2 km","3.2km","","yamagata02_kaminoyama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (3.2 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（3.2km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata02/kaminoyama.pdf","日本では上山市のみ。ミュンヒェン大学認定コース"
"yamagata01_yamagata01_course1","山形県 天童市","舞鶴山コース コース1","38.361","140.374","2.5 km","2.5km","","yamagata01_yamagata01","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (2.5 km). | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.5km）。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/yamagata01/yamagata01.pdf","人間将棋、天童織田藩の史跡を巡るコース"
